Image, gender, leyex, leyey, reyex, reyey, nosex, nosey, lmouthx, lmouthy, rmouthx, rmouthy
000001.jpg, 0, 69, 109, 106, 113, 77, 142, 73, 152, 108, 154
000002.jpg, 0, 69, 110, 107, 112, 81, 135, 70, 151, 108, 153
000004.jpg, 0, 72, 113, 108, 108, 101, 138, 71, 155, 101, 151
000005.jpg, 0, 66, 114, 112, 112, 86, 119, 71, 147, 104, 150
000006.jpg, 0, 71, 111, 106, 110, 94, 131, 74, 154, 102, 153
000007.jpg, 1, 70, 112, 108, 111, 85, 135, 72, 152, 104, 152
000008.jpg, 1, 71, 110, 106, 111, 84, 137, 73, 155, 104, 153
000009.jpg, 0, 68, 113, 110, 111, 97, 139, 66, 152, 109, 150
000010.jpg, 0, 68, 111, 108, 112, 89, 136, 70, 151, 107, 151
000011.jpg, 0, 69, 112, 108, 111, 89, 139, 72, 152, 104, 151
000012.jpg, 1, 69, 112, 108, 112, 89, 136, 68, 150, 109, 152
000013.jpg, 1, 68, 112, 109, 111, 90, 138, 67, 151, 109, 150
000014.jpg, 0, 68, 112, 109, 111, 92, 141, 72, 150, 104, 152
000015.jpg, 1, 69, 110, 107, 112, 90, 133, 74, 152, 105, 153
000016.jpg, 1, 69, 112, 108, 111, 85, 138, 70, 152, 105, 152
000017.jpg, 0, 67, 112, 109, 113, 86, 138, 67, 150, 111, 151
000018.jpg, 0, 67, 112, 110, 112, 88, 135, 68, 150, 109, 150
000019.jpg, 0, 68, 111, 108, 112, 88, 134, 73, 152, 104, 151
000020.jpg, 1, 69, 112, 109, 110, 86, 125, 72, 152, 103, 151
000021.jpg, 1, 70, 111, 107, 111, 87, 138, 73, 151, 104, 154
000022.jpg, 0, 70, 111, 107, 111, 85, 132, 74, 153, 103, 153
000023.jpg, 1, 70, 112, 108, 111, 88, 140, 71, 153, 105, 151
000024.jpg, 0, 67, 111, 109, 113, 84, 123, 72, 149, 106, 152
000025.jpg, 1, 70, 111, 108, 111, 83, 130, 72, 153, 104, 152
000026.jpg, 0, 69, 111, 108, 111, 85, 135, 73, 152, 103, 152
000027.jpg, 0, 70, 112, 107, 110, 101, 138, 70, 155, 105, 151
000028.jpg, 0, 68, 112, 110, 112, 89, 145, 67, 150, 109, 151
000029.jpg, 0, 69, 111, 108, 111, 91, 129, 70, 151, 107, 152
000030.jpg, 1, 70, 110, 106, 111, 95, 135, 75, 153, 103, 153
000031.jpg, 0, 68, 113, 109, 111, 88, 137, 65, 151, 111, 151
000032.jpg, 1, 72, 111, 106, 110, 88, 133, 75, 153, 101, 155
000033.jpg, 1, 69, 111, 108, 111, 88, 136, 72, 152, 105, 152
000034.jpg, 0, 70, 111, 108, 111, 91, 134, 72, 153, 104, 152
000035.jpg, 0, 69, 111, 108, 111, 88, 135, 73, 152, 104, 152
000036.jpg, 1, 74, 106, 101, 111, 69, 138, 80, 156, 102, 158
000038.jpg, 1, 69, 112, 109, 111, 93, 137, 68, 151, 109, 152
000039.jpg, 0, 69, 111, 108, 111, 100, 131, 68, 151, 108, 152
000040.jpg, 0, 69, 112, 108, 111, 89, 139, 73, 152, 103, 152
000041.jpg, 1, 70, 105, 102, 114, 65, 144, 73, 151, 112, 159
000042.jpg, 0, 68, 112, 109, 112, 92, 138, 68, 152, 109, 150
000043.jpg, 0, 68, 111, 109, 112, 90, 136, 67, 150, 110, 151
000044.jpg, 0, 71, 110, 106, 111, 87, 137, 73, 153, 105, 154
000045.jpg, 0, 69, 112, 108, 111, 86, 140, 68, 151, 108, 152
000046.jpg, 0, 66, 112, 110, 113, 87, 139, 69, 149, 109, 150
000047.jpg, 0, 68, 112, 109, 112, 88, 135, 72, 151, 105, 152
000048.jpg, 1, 70, 113, 108, 110, 81, 125, 74, 154, 100, 150
000051.jpg, 1, 67, 113, 110, 112, 83, 140, 69, 148, 107, 152
000052.jpg, 1, 70, 111, 107, 111, 85, 135, 72, 153, 105, 153
000054.jpg, 0, 67, 112, 110, 112, 87, 138, 66, 150, 111, 151
000055.jpg, 1, 69, 111, 108, 111, 86, 133, 73, 151, 104, 153
000056.jpg, 1, 69, 111, 107, 111, 97, 133, 74, 152, 103, 152
000057.jpg, 0, 71, 111, 106, 110, 95, 134, 73, 154, 103, 154
000058.jpg, 0, 68, 112, 109, 112, 89, 132, 73, 152, 104, 150
000059.jpg, 0, 72, 110, 105, 110, 75, 132, 75, 153, 101, 156
000060.jpg, 1, 71, 112, 107, 109, 74, 131, 70, 154, 104, 153
000061.jpg, 1, 74, 110, 104, 108, 97, 130, 78, 158, 97, 154
000062.jpg, 0, 69, 111, 108, 112, 87, 137, 72, 153, 105, 151
000063.jpg, 0, 68, 111, 108, 113, 82, 142, 66, 150, 112, 152
000064.jpg, 1, 68, 111, 108, 112, 88, 132, 71, 151, 106, 152
000065.jpg, 1, 69, 112, 108, 111, 87, 136, 71, 152, 106, 151
000066.jpg, 0, 66, 112, 110, 113, 86, 136, 65, 149, 114, 150
000067.jpg, 1, 70, 110, 106, 111, 93, 136, 73, 154, 104, 153
000069.jpg, 1, 68, 111, 108, 112, 88, 126, 77, 151, 101, 152
000071.jpg, 0, 68, 111, 109, 113, 85, 138, 71, 151, 108, 151
000072.jpg, 1, 68, 112, 109, 112, 89, 137, 64, 151, 113, 150
000073.jpg, 0, 70, 110, 107, 111, 77, 134, 74, 152, 103, 154
000075.jpg, 0, 70, 111, 107, 111, 80, 129, 73, 152, 103, 153
000076.jpg, 1, 67, 113, 110, 112, 83, 126, 67, 151, 109, 150
000077.jpg, 0, 68, 111, 109, 112, 83, 138, 69, 150, 109, 152
000078.jpg, 0, 66, 112, 111, 113, 90, 126, 70, 149, 107, 150
000079.jpg, 1, 70, 111, 107, 111, 80, 139, 73, 153, 103, 152
000080.jpg, 1, 69, 110, 107, 112, 92, 137, 73, 153, 105, 152
000081.jpg, 1, 69, 112, 108, 111, 95, 136, 68, 153, 109, 150
000083.jpg, 0, 68, 112, 109, 112, 87, 138, 69, 150, 108, 152
000085.jpg, 0, 68, 111, 108, 112, 85, 139, 72, 150, 107, 152
000086.jpg, 0, 69, 109, 106, 113, 97, 132, 79, 152, 101, 153
000087.jpg, 0, 69, 112, 108, 112, 93, 140, 66, 152, 111, 151
000088.jpg, 0, 71, 112, 107, 110, 81, 134, 77, 153, 98, 154
000089.jpg, 0, 69, 111, 108, 111, 83, 140, 73, 151, 104, 153
000090.jpg, 1, 71, 110, 105, 111, 92, 133, 77, 154, 100, 154
000091.jpg, 1, 69, 111, 108, 111, 88, 139, 73, 152, 104, 152
000092.jpg, 0, 68, 112, 109, 111, 94, 137, 73, 151, 104, 151
000094.jpg, 0, 68, 111, 108, 112, 92, 134, 69, 150, 109, 153
000097.jpg, 0, 69, 111, 108, 111, 87, 132, 76, 150, 101, 154
000098.jpg, 0, 70, 111, 107, 111, 80, 137, 77, 152, 100, 154
000099.jpg, 0, 68, 112, 109, 112, 90, 138, 66, 151, 111, 150
000100.jpg, 0, 69, 111, 108, 111, 95, 134, 69, 151, 107, 152
000101.jpg, 0, 69, 112, 108, 111, 92, 136, 71, 152, 105, 151
000102.jpg, 1, 70, 112, 107, 110, 82, 122, 72, 154, 104, 151
000103.jpg, 0, 70, 111, 107, 111, 92, 131, 74, 153, 103, 153
000104.jpg, 1, 68, 111, 108, 112, 87, 138, 68, 151, 110, 152
000105.jpg, 1, 68, 112, 109, 112, 91, 136, 73, 152, 104, 150
000106.jpg, 0, 69, 112, 108, 111, 98, 141, 68, 152, 109, 151
000107.jpg, 0, 67, 112, 110, 112, 89, 137, 67, 150, 110, 150
